Source	Target	Explanation
surface of a balloon	universe	Think of each gravitationally bound system as a penny, and glue a bunch of these pennies onto a balloon that is only slightly blown up. Now we blow up the balloon more. ALL of the pennies move away from each other uniformly, and those that are farther away from eaclh other move away from each other faster than those that are closer together. If you choose ANY penny on the surface, it sees ALL of the other pennies moving away from itself and it sees the ones farther away moving away faster than those close by. No penny is the center of the expansion. There IS no center to the universe. That is the way the universe works and that is what the analogy is intended to show. The fact that all the pennies move away from each other and that ones farther away move away faster and that there is no center.
lock and key	enzyme mechanism	According to this analogy , the lock is an enzyme and key works as substrate. Only the correct size of key or subsrtrate puts into the hole of the lock. Enzymes helps to bind the molecules that can be able to fit in their active site (lock) because these active sites are very particular and only some molecules known as keys are able to bind them.
finding signal in the noise	anova	If signal to noise ratio is big , reject H0. If signal to noise ratio is small, do not reject H0. Here, Signal is Variance between groups and Noise is Variance Within groups.
hypothalamus	thermostat	Consider the heating and air conditioning systems in the house, the body also has systems like that to respond environmental changes to maintain homeostasis. These mechanisms are called feedback mechanisms. A home heating system connected to a temperature-sensitive thermostat is a nonbiological example of a feedback system.A thermostat contains both the receptor and the control center.Let's consider that the thermostat is set at 68 degree Fahrenheit(20 degree C). If the house temperature drops below(68 degree F), the heating system will be triggered ON .As the furnace produces heat, the air is warmed, when the temp increases 68 degree F, the thermostat sends a signal to shut off the furnace. This is an example of a negative feedback loop. In our body hypothalamus, operates like thermostat to regulate body temperature. It can sense when body's temperature is too high or too low.The normal body temperature is 98.6 degree F. If the temperature of your body rises above 98.6 degree F, the hypothalamus senses that a change needs to be made in order to reverse the heating of the area. The hypothalamus send the information to the effectors that increase blood flow to that area. This induces perspiration and this will cool the body and return it to the normal temperature. When the body cools below 98.6 degree F, a comparable mechanism is set off which will reduce the blood flow and cause shivering. This activity generates heat through physical activity thus raising the body temperature.
water level in dam and lake	chemical equilibrium	Let's say you have a dam on a river. The water climbs up high behind the dam - this indeed represents a system of high potential energy and is used by the electricity industry to generate electricity. This situation is analogous to a system with some starting reagents of high potential energy (ie they will react with each other) but are separated. Now open the floodgates of the dam - water comes rusing out with energy able to be changed into another form(s); first kinetic energy of the water then kinetic energy of the turbines as they spin then electricity is harvested from the turbines ultimately let's say the water level in the dam reaches the water level in the lake downstream - the system is in equilbrium. Analogy to chemistry: floodgates open means reagents mixed; the forms of energy is anolgous to the varies reaction intermediaries; equilbrium is acheived when there is no net change in concentrations of the various chemical species.
water and rocks	just-in-time	As the water level reduces, the rocks that are to be removed out of the water are exposed to the people. Similarly, when the buffer stock, as in the water, reduces, the rocks or problems shall get exposed and the same needs to be fixed by letting it undergo series of processes.
police headquerters	adaptive immunity	Consider adaptive immune system as police headquerters. Weapon specialists are B cells and interrogators as T cells. Criminals are pathogens entering to the body. The head quarters have all the records of criminals and they remembers criminals .
cats, mice and cake	ohm's law	There is a cake (voltage) which is the reason for mice (electron) to move but they faced a hurdel or we can say that cat is the resistance to their path to reach that cake but that cake is a greed for the mice so they will have to move but if the hurdle (cat) is more then no mice reach to the cake as all mic might be eaten by cats so cake is not eaten by any of mice so zero amperage. But if the number of mice is more than the cats so many of the mices reach to that cake while having hurdle in their path so the number of mices per unit time that make it to cheese would be the amperage. So here conclusion is that if there were no cake then mices will not move hence no amperage so the reason for mice to move is to just a cake that is what the ohms law says "the reason for the current to flow in the circuit is the voltage"
photocopying	transcription	During transcription RNA is made from the DNA template. RNA is an exact copy of DNA except T is replaced by U. Same way during Photocopying we got the same copy of the book but the quality of the book is decreased.
xerox machine	rna polymerase	RNA polymerase carries out the process of transcription same ways Xerox machine carry out hr process of photocopying
cook	ribosome	Ribosme helps in translation to make the final product i.e. protein same way cook helps in the preparing the final dish
bookmarks	activator protein	the activator proteins helps in recognizing the gene to be synthesized same way bookmarks helps us to remind us which dish we want to make
air flowing through a tube	electric circuit	An electric circuit is like air flowing through a tube. The air is like movable charge, the flow of the air is like current, and the pressure in the air is like voltage.
rope through metal rings	electric circuit	An electric circuit is like a loop of rope going through a number of metal rings (or through pulleys or people's hands). The rope is like movable charge, its movement is like current, the rings (or pulleys or hands) are like bulbs, and tension in the rope is like voltage.
teenagers at a party	hydrophobic effect	Hydrophillic ends group together at one side ( facing outside towards polar water molecules and form hydrogen bond with polar water molecules) while the hydropobic ends group together at the other side ( facing to the interior of the membrane away from water) of the membrane much like the separate grouping of teenager's together at a teenage party with the parents away in another group due to differences in the ages ( with different likes and dislikes) of teenagers and their respective parents.
threat communication in animals	biological signal transduction	When one animal (Receptor) sees a threat (signal), it warns the other (relay), the message through noise increases as more and more animals are made aware of the threat (Transduction and amplification), the animals form groups for protection (integration) and move away from danger (distribution).
